view_info,allsop_address,lot_num
every Tuesday and Saturday before the Auction between 2.45 - 3.15 p.m. (Ref: UD).,,119
every Monday and Wednesday before the Auction between 1.00 - 1.30 p.m. (Ref: MW).,,118
No Viewings,,117
every Monday and Wednesday before the Auction between 2.30 - 3.00 p.m. (Ref: MW).,,116
every Wednesday and Saturday before the Auction between 12 noon - 12.30 p.m. (Ref: UD).,,115
Please Call: Allsop (Ref: SH).Tel: 020 7344 2676.,,114
every Thursday and Saturday before the Auction between 2.00 - 2.30 p.m. (Ref: UD).,,113
every Tuesday and Saturday before the Auction between 2.00 - 2.30 p.m. (Ref: UD).,,112
No Viewings,,111
Internal viewings will not be possible.,,110
Please email: NHSResiviewings@allsop.co.uk using the subject heading 'Viewings Lot 109',,109
every Monday and Wednesday before the Auction between 5.00 - 5.30 p.m. (Ref: MW).,,108
No Viewings,,107
No Viewings,,106
Please Email: laura.kerr@allsop.co.uk using the subject heading 'Viewings Lot 105'.,,105
every Monday and Wednesday before the Auction between 11.15 - 11.45 a.m. (Ref: MW).,,104
No Viewings,,103
"on Thursday 12th, Wednesday 18th and 25th between 9.30 - 10.30 a.m. (Ref: UD).",,102
No Viewings,,101
No Viewings,,100
every Thursday and Saturday before the Auction between 11.15 - 11.45 a.m. (Ref: UD).,,99
No Viewings,,98
every Wednesday and Saturday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,97
every Monday and Thursday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,96
every Tuesday and Friday before the Auction between 10.00 - 10.30 a.m. (Ref: MW).,,95
every Tuesday and Thursday before the Auction between 10.30 - 11.00 a.m. (Ref: MW).,,94
Please email: NHSResiviewings@allsop.co.uk using the subject heading 'Viewings Lot 93',,93
every Monday and Friday before the Auction between 11.00 - 11.30 a.m. These are open viewing times with no need to register.,,92
every Monday and Friday before the Auction between 12.45 - 1.15 p.m. (Ref: UD).,,91
No Viewings,,276
No Viewings,,275
every Tuesday and Friday before the Auction between 11.30 a.m. - 12.00 noon. (Ref: MW).,,274
every Tuesday and Thursday before the Auction between 1.45 - 2.15 p.m. (Ref: MW).,,273
Please email zoe.baxter@allsop.co.uk,,272
on Monday 16th March between 11.30 a.m. - 12 noon and Saturday 21st March between 3.00 - 3.30 p.m. (Ref: CF).,,271
No Viewings,,270
No Viewings,,269
Pleae call: Mark Witty.Tel: 01604 721 500.,,268
every Tuesday and Friday before the Auction between 12.45 - 1.15 p.m. (Ref: MW).,,267
every Monday and Wednesday before the Auction between 9.00 - 9.30 a.m. (Ref: MW).,,266
every Thursday and Saturday before the Auction between 10.15 - 10.45 a.m. (Ref: MW).,,265
every Monday and Friday before the Auction between 12 noon - 12.30 p.m. These are open viewing times with no need to register.,,264
No Viewings,,263
No Viewings,,262
No Viewings,,261
No Viewings,,260
No Viewings,,259
Please call Allsop (Ref: RH)Tel: 0207 437 6977,,258
No Viewings,,257
every Monday and Wednesday before the Auction between 11.00 - 11.30 a.m. (Ref: MW).,,256
No Viewings,,255
No Viewings,,254
No Viewings,,253
No Viewings,,252
No Viewings,,251
No Viewings,,250
There will be a block viewing on Friday 13th March between 1.05 - 1.30 p.m (Ref: MW).,,249
There will be a block viewing on Friday 13th March between 12.30 - 1.00 p.m (Ref: MW).,,248
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,247
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,246
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,245
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,244
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,243
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,242
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,241
every Monday and Wednesday before the Auction between 9.00 - 10.00 a.m. (Ref: MW).,,240
No Viewings,,239
Please email: richard.how@allsop.co.uk using the subject heading 'Viewings Lot 238',,238
No Viewings,,236
No Viewings,,235
every Monday and Wednesday before the Auction between 10.00 - 10.30 a.m. (Ref: MW).,,234
No Viewings,,233
No Viewings,,232
No Viewings,,231
every Tuesday and Thursday before the Auction between 11.00 a.m. - 12.00 noon. (Ref: MW).,,230
every Wednesday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,237
No Viewings,,229
No Viewings,,228
No Viewings,,227
No Viewings,,226
every Tuesday and Friday before the Auction between 12.30 - 1.00 p.m. (Ref: UD).,,225
Please Email: zoe.baxter@allsop.co.uk,,224
No Viewings,,223
No Viewings,,221
No Viewings,,220
No Viewings,,219
No Viewings,,222
every Tuesday and Saturday before the Auction between 9.00 - 10.00 a.m. (Ref: UD).,,218
No Viewings,,217
No Viewings,,216
No Viewings,,215
No Viewings,,214
No Viewings,,213
No Viewings,,212
No Viewings,,211
No Viewings,,210
No Viewings,,209
No Viewings,,208
No Viewings,,207
every Monday and Friday before the Auction between 11.45 a.m. - 12.45 p.m. (Ref: UD).,,206
every Monday and Friday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,205
every Thursday and Saturday before the Auction between 12 noon - 12.30 p.m. (Ref: UD).,,204
No Viewings,,203
No Viewings,,202
No Viewings,,201
No Viewings,,200
No Viewings,,199
Please Email: NHSResiviewings@allsop.co.uk using the subject heading 'Viewings Lot 198'.,,198
before the Auction on Tuesday 17th March between 12 noon - 12.30 p.m.,,197A
There will be one block viewing on Friday 20th March between 10.00 - 11.00 a.m. Please note further viewings will not be possible.,,197
on Monday 16th March between 9.30 - 10.00 a.m. and Saturday 21st March between 1.00 - 1.30 p.m. (Ref: CF).,,196
every Monday and Thursday before the Auction between 1.00 - 1.30 p.m. (Ref: UD).,,195
Both flats will be open to view on Monday 16th and Monday 23rd March between 10.30 - 11.00 a.m. (Ref: UD).,,194
Both flats will be open to view on Monday 16th and Monday 23rd March between 10.30 - 11.00 a.m. (Ref: UD).,,193
every Thursday between 2.15 - 2.45 p.m. and Saturday between 12.15 - 12.45 p.m. before the Auction. (Ref: UD).,,192
No Viewings,,191
No Viewings,,190
every Monday and Wednesday before the Auction between 3.00 - 3.30 p.m. (Ref: MW).,,89
every Tuesday between 12 noon - 12.30 p.m. and Saturday between 10.45 - 11.15 a.m. before the Auction. (Ref: UD).,,88
No Viewings,,87C
"Lot 87A (Flat 4B, 16 Cotmandene) will be open for viewing every Wednesday and Saturday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).",,87B
"Lot 87A (Flat 4B, 16 Cotmandene) will be open for viewing every Wednesday and Saturday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).",,87A
every Wednesday and Friday before the Auction between 11.00 - 11.30 a.m. (Ref: UD).,,87
No Viewings,,86
every Monday and Thursday before the Auction between 3.15 - 3.45 p.m. (Ref: UD).,,85
every Monday and Wednesday before the Auction between 4.15 - 4.45 p.m. (Ref: MW).,,84
every Tuesday and Thursday before the Auction between 11.45 a.m. - 12.45 p.m. (Ref: MW).,,83D
every Tuesday and Thursday before the Auction between 11.45 a.m. - 12.45 p.m. (Ref: MW).,,83C
every Tuesday and Thursday before the Auction between 11.45 a.m. - 12.45 p.m. (Ref: MW).,,83B
every Tuesday and Thursday before the Auction between 11.45 a.m. - 12.45 p.m. (Ref: MW).,,83A
every Tuesday and Saturday before the Auction between 1.30 - 2.30 p.m. (Ref: UD).,,82
No Viewings,,81
Please email: NHSResiviewings@allsop.co.uk using the subject heading 'Viewings Lot 80',,80
every Monday and Wednesday before the Auction between 9.30 - 10.00 a.m. (Ref: OG).,,79
No Viewings,,78
every Monday and Wednesday before the Auction between 4.15 - 4.45 p.m. (Ref: MW).,,77
every Monday and Wednesday before the Auction between 4.15 - 4.45 p.m. (Ref: MW).,,76
The properties will be open for viewing every Wednesday and Saturday before the Auction between 10.45 - 11.15 a.m. (Ref: UD).,,75
The properties will be open for viewing every Wednesday and Saturday before the Auction between 10.45 - 11.15 a.m. (Ref: UD).,,74
No Viewings,,73
Please email: laura.kerr@allsop.co.uk using the subject heading 'Viewings Lot 72',,72
every Wednesday and Friday before the Auction between 10.00 - 11.00 a.m. (Ref: UD).,,71
every Tuesday and Friday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,70
Please email: richard.adamson@allsop.co.uk using the subject heading 'Viewings Lot 69',,69
every Thursday and Saturday before the Auction between 4.15 - 4.45 p.m. (Ref: UD).,,68
No Viewings,,67
No Viewings,,66
every Tuesday between 11.00 - 11.30 a.m. and every Thursday between 3.00 - 3.30 p.m. (Ref: FA).,,65
No Viewings,,64C
No Viewings,,64B
No Viewings,,64A
every Tuesday and Saturday before the Auction between 11.45 a.m. - 12.15 p.m. (Ref: UD).,,64
every Wednesday between 1.15 - 1.45 p.m. and Saturday between 12 noon - 12.30 p.m. before the Auction. (Ref: UD).,,63
on Tuesday 17th &amp; 24th March at 10.00 a.m.,,62
No Viewings,,61
every Friday and Tuesday (starting Friday 13th March) before the Auction between 1.15 - 1.45 p.m. (Ref: UD).,,60
No Viewings,,59
No Viewings,,58
No Viewings,,57
Please Call: Allsop.Tel: 0207 344 2615 (Ref: WT).,,56
Thursday 12th March between 11.30 am - 12 noon.',,55
No Viewings,,54
every Tuesday and Thursday between 2.00 p.m. - 2.30 p.m. before the Auction.,,53
No Viewings,,52
No Viewings,,51
No Viewings,,50
No Viewings,,49
No Viewings,,48
No Viewings,,47
every Tuesday between 11.00 - 11.30 a.m. and Saturday between 11.45 a.m. - 12.15 p.m. before the Auction. (Ref: UD).,,46
No Viewings,,33
every Thursday and Saturday before the Auction between 2.45 - 3.15 p.m. (Ref: UD).,,32
Please Email: laura.kerr@allsop.co.uk using the subject heading 'Viewings Lot 31'.,,31
every Wednesday between 3.15 - 3.45 p.m. and Saturday between 2.00 - 2.30 p.m. before the Auction. (Ref: UD).,,30
"every Monday and Thursday before the Auction between 2.00 - 2.30 p.m. (Ref: UD). NB. A Section 42 Notice has been served in accordance with the Leasehold Reform, Housing and Urban Development Act 1993. The notice will be assigned to the successful purchaser upon completion. Please refer to the legal documents for further information.",,29
every Monday and Friday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,28
No Viewings,,27
every Wednesday and Saturday before the Auction between 12.30 - 1.00 p.m. (Ref: UD).,,26
No Viewings,,25
No Viewings,,24
No Viewings,,23
every Monday and Wednesday before the Auction between 10.15 - 1045 a.m. (Ref: MW).,,22
No Viewings,,21
No Viewings,,20
No Viewings,,19
every Monday and Thursday before the Auction between 11.15 - 11.45 a.m. (Ref: UD).,,18
every Thursday and Saturday before the Auction between 1.15 - 1.45 p.m. (Ref: UD).,,17
every Monday and Wednesday before the Auction between 1.15 - 1.45 p.m. (Ref: MW).,,16
on 17th &amp; 24th March between 10.30 - 11.00 a.m. (Ref: UD).,,15
To view the garages - Please Call: Mark Witty.Tel: 01604 721500.,,14
No Viewings,,13
No Viewings,,12
No Viewings,,11
No Viewings,,10
No Viewings,,9
No Viewings,,8
every Tuesday and Saturday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,7
every Tuesday between 1.15 - 1.45 p.m. and Saturday between 9.30 - 10.00 a.m. before the Auction. (Ref: UD).,,6
No Viewings,,5
every Thursday and Saturday before the Auction between 3.30 - 4.00 p.m. (Ref: UD).,,4
every Monday and Friday before the Auction between 1.45 - 2.15 p.m. (Ref: UD).,,3
every Thursday and Saturday before the Auction between 11.00 - 11.30 a.m. (Ref: UD).,,2
No Viewings,,1
