Lot Number,Image,Address,Town,Postcode,Description,Guide Price,Price,Auctioneer,Auction Date,Lease Details,Vendor
11,https://www.eigroup.co.uk/files/20/22986/b7e695b4-a136-45e1-9c41-95fdd46a5ef8.jpg,"54 Potley Hill Road, Yateley, Hampshire, GU46 6AF", Hampshire, GU46 6AF,Freehold Bungalow Three Room(s) Development Potential Garage/s / Workshop Garden,"£225,000 Plus",225000,Countrywide Property Auctions,25 March 2015,,
12,https://www.eigroup.co.uk/files/20/22986/ad01d78e-b2b9-4ddc-a31b-8c3350e5af21.jpg,"14 Millers Court, Booth Street, Stalybridge, Cheshire, SK15 1TW", Cheshire, SK15 1TW,Leasehold 2nd Floor Apartment One Bedroom Parking Space Vacant,"£40,000 to £45,000",40000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
13,https://www.eigroup.co.uk/files/20/22986/6a57b3b1-1c29-48db-9e25-60c40e0de17d.jpg,"31 Cowal Place, Dunoon, Argyll, PA23 7PU", Argyll, PA23 7PU,End of Terrace House Two Floor Three Room(s) Unmodernised Garden Parking Space,"£30,000 to £40,000",30000,Countrywide Property Auctions,25 March 2015,,
14,https://www.eigroup.co.uk/files/20/22986/0b6130f4-36d8-47d0-b375-c8bcaf973815.jpg,"2 Seagry Road, Wanstead, London, E11 2NG", London, E11 2NG,Freehold Substantial Detached House Three Floor 4 Bedroom Garage/s Parking Space Garden Planning Permission Bungalow,"£1,395,000 Plus",1395000,Countrywide Property Auctions,25 March 2015,,
15,https://www.eigroup.co.uk/files/20/22986/da190c43-3a3a-42ff-82fb-98896354e930.jpg,"378C Clapham Road, Stockwell, London, SW9 9AF", London, SW9 9AF,Two Ground Floor Apartment One Bedroom,"£500,000 Plus",500000,Countrywide Property Auctions,25 March 2015,,
16,https://www.eigroup.co.uk/files/20/22986/781f2201-8efb-427c-a9e7-2637a7292a58.jpg,"144 Chandlers Way, Sutton Manor, St. Helens, Merseyside, WA9 4TG", Merseyside, WA9 4TG,Freehold Terrace House Two Floor 4 Room(s),"£65,000 to £70,000",65000,Countrywide Property Auctions,25 March 2015,,LPA Receivers
17,https://www.eigroup.co.uk/files/20/22986/d6fd0b28-29cf-4b64-93f2-a8e3533ca5ad.jpg,"Flat 37, Penton House, Hartslock Drive, Abbey Wood, London, SE2 9UZ", London, SE2 9UZ,Leasehold 13th Floor Purpose Built Flat 4 Bedroom Assured Shorthold Tenancy,"£110,000 Plus",110000,Countrywide Property Auctions,25 March 2015,,
18,https://www.eigroup.co.uk/files/20/22986/907dfdf9-3bd5-4fe9-8958-b2659e1e8b1a.jpg,"6 Beech Grove, Addlestone, Surrey, KT15 1QQ", Surrey, KT15 1QQ,Leasehold 1st / 2nd Floor Maisonette 4 Room(s) Garden Garage/s Vacant,"£165,000 Plus",165000,Countrywide Property Auctions,25 March 2015,,
19,https://www.eigroup.co.uk/files/20/22986/6bb7fbd1-3dae-40c1-906a-75c962be292d.jpg,"9 Winters Road, Thames Ditton, Surrey, KT7 0XW", Surrey, KT7 0XW,Freehold Cottage Two Floor 4 Room(s) Unmodernised Garden,"£300,000 Plus",300000,Countrywide Property Auctions,25 March 2015,,
20,https://www.eigroup.co.uk/files/20/22986/7702558b-2457-4d63-92e1-8823c1129765.jpg,"19 Castle Street, Liskeard, Cornwall, PL14 3AU", Cornwall, PL14 3AU,Freehold Terrace House Three Floor Three Bedroom & Attic Room(s) Unmodernised Garden Vacant,"£90,000 Plus",90000,Countrywide Property Auctions,25 March 2015,,Countrywide Corporate Property Services Ltd
21,https://www.eigroup.co.uk/files/20/22986/7c2d3a47-7700-496d-923a-9a8facfd3b7c.jpg,"10 Swanfield, Ystalyfera, Swansea, West Glamorgan, SA9 2JD", West Glamorgan, SA9 2JD,Freehold End of Terrace House Two Floor 5 Room(s) & Attic Room(s) Garage/s Garden Vacant,"£70,000 Plus",70000,Countrywide Property Auctions,25 March 2015,,Countrywide Corporate Property Services Ltd
22,https://www.eigroup.co.uk/files/20/22986/cc48a928-c171-4bda-b9b2-cd12e1c5e475.jpg,"10 Station Terrace, Aberdare, Mid Glamorgan, CF44 6NE", Mid Glamorgan, CF44 6NE,Freehold Terrace House Three Floor 4 Room(s) Garden Vacant,"£54,000 Plus",54000,Countrywide Property Auctions,25 March 2015,,Countrywide Corporate Property Services Ltd
23,https://www.eigroup.co.uk/files/20/22986/bb307b9b-8141-40b0-a6b8-a9099efeef91.jpg,"2 Brannam Court, High Street, Dedham, Colchester, Essex, CO7 6DE", Essex, CO7 6DE,Long Leasehold Cottage Three Floor Three Bedroom,"£225,000 Plus",225000,Countrywide Property Auctions,25 March 2015,,
24,https://www.eigroup.co.uk/files/20/22986/89bd153c-bde6-46f3-85b4-5f60d01e2ee9.jpg,"97 Oaks Drive, St. Leonards, Ringwood, Hampshire, BH24 2QS", Hampshire, BH24 2QS,Freehold Bungalow Three Room(s) Unmodernised Garden Garage/s,"£250,000 Plus",250000,Countrywide Property Auctions,25 March 2015,,
25,https://www.eigroup.co.uk/files/20/22986/ada907a3-7bf3-4e8f-aabb-55f6c86e3c89.jpg,"14 Farquharson Road, Croydon, Surrey, CR0 2UH", Surrey, CR0 2UH,Semi-Detached House Three Floor 8 Room(s) Development Potential Conversion Apartment Subject to Planning Permission,"£400,000 Plus",400000,Countrywide Property Auctions,25 March 2015,,
26,https://www.eigroup.co.uk/files/20/22986/cc290349-a17c-42c6-81d2-c8240a1c3655.jpg,"29 Stephen Street, Hartlepool, Cleveland, TS26 8QA", Cleveland, TS26 8QA,Terrace House Two Floor Three Room(s) Unmodernised Yards,"£20,000 Plus",20000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
27,https://www.eigroup.co.uk/files/20/22986/7d982bf0-6229-4aa1-aa2b-6449b4bc96c2.jpg,"14 Studley Court, Sidcup, Kent, DA14 6JF", Kent, DA14 6JF,Leasehold Ground Floor Maisonette Three Room(s) Garden Garage/s,"£135,000 Plus",135000,Countrywide Property Auctions,25 March 2015,,
28,https://www.eigroup.co.uk/files/20/22986/3ff26778-07b0-4d63-95cb-4cd53ba662d6.jpg,"Flat 1, 15 North Park, Eltham, London, SE9 5AW", London, SE9 5AW,Leasehold Garden Apartment Three Room(s) Garden Garage/s,"£150,000 Plus",150000,Countrywide Property Auctions,25 March 2015,,
29,https://www.eigroup.co.uk/files/20/22986/a8fb836b-17c6-4695-8f20-dd1dee20ac8f.jpg,"41A Fairfield Road, Edmonton, London, N18 2QP", London, N18 2QP,Leasehold 1st Floor Flat Three Room(s) Vacant,"£150,000 Plus",150000,Countrywide Property Auctions,25 March 2015,,
30,https://www.eigroup.co.uk/files/20/22986/0c9459fc-17ab-4ff9-9de2-f53efeb13a07.jpg,"The Volunteer Inn, Station Road, Grove, Wantage, Oxfordshire, OX12 0DH", Oxfordshire, OX12 0DH,Freehold Former Public House Two Floor Residential Upper Part Development Potential Outline Planning Permission,Refer,,Countrywide Property Auctions,25 March 2015,,
31,https://www.eigroup.co.uk/files/20/22986/0268851b-a4f3-4ea8-9647-8dfafb5a1b68.jpg,"142 Chandlers Way, Sutton Manor, St. Helens, Merseyside, WA9 4TG", Merseyside, WA9 4TG,Freehold House Two Floor 4 Room(s) Garden,"£65,000 to £70,000",65000,Countrywide Property Auctions,25 March 2015,,LPA Receivers
32,https://www.eigroup.co.uk/files/20/22986/160a7f16-e714-493a-8a99-ca442a9ba19a.jpg,"Flat 2, North Minden House, Deepcut Bridge Road, Deepcut, Camberley, Surrey, GU16 6SJ", Surrey, GU16 6SJ,Leasehold Ground Floor Apartment Two Room(s) Garden Garage/s Vacant,"£140,000 Plus",140000,Countrywide Property Auctions,25 March 2015,,
33,https://www.eigroup.co.uk/files/20/22986/85d3cac1-5c96-45af-b47f-2e718cbaa6ce.jpg,"2 The Lawn, Horton Road, Datchet, Slough, Berkshire, SL3 9HB", Berkshire, SL3 9HB,Leasehold / Freehold Apartment 4 Bedroom Garden,"£550,000 Plus",550000,Countrywide Property Auctions,25 March 2015,,
34,https://www.eigroup.co.uk/files/20/22986/e8247847-b671-48c6-a11b-a385f660714d.jpg,"8 Fountain Street, Bangor, Gwynedd, LL57 1DB", Gwynedd, LL57 1DB,Terrace Cottage Three Floor 5 Room(s) Unmodernised Garden Vacant,"£55,000 to £60,000",55000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
35,https://www.eigroup.co.uk/files/20/22986/369217f0-9121-4361-b632-ee3f773ebd8b.jpg,"1 Carmel Close, Mount Hermon Road, Woking, Surrey, GU22 7XQ", Surrey, GU22 7XQ,Leasehold Purpose Built Ground Floor Apartment Two Room(s) Vacant,"£125,000 Plus",125000,Countrywide Property Auctions,25 March 2015,,
36,https://www.eigroup.co.uk/files/20/22986/e6a94876-203d-4b2f-a30d-b7f2a28df159.jpg,"8 Lonsdale Avenue, East Ham, London, E6 3JY", London, E6 3JY,Lock Up Garage Vacant,"£5,000 Plus",5000,Countrywide Property Auctions,25 March 2015,,
37,https://www.eigroup.co.uk/files/20/22986/c7da80df-c35a-400a-bd95-9309dec12b34.jpg,"8 Emsworth Close, St. Mary's Road, Edmonton, London, N9 8NW", London, N9 8NW,Leasehold 1st / 2nd Floor Maisonette 4 Room(s),"£185,000 Plus",185000,Countrywide Property Auctions,25 March 2015,,
38,https://www.eigroup.co.uk/files/20/22986/0a35b2de-250f-4c11-98e1-39055b18cda8.jpg,"Flat 2a, 21-22 Stanhope Gardens, South Kensington, London, SW7 5QX", London, SW7 5QX,Leasehold Self-Contained Basement Apartment Two Room(s) Communal Gardens,Refer,,Countrywide Property Auctions,25 March 2015,,
39,https://www.eigroup.co.uk/files/20/22986/d1ce5c2f-dec9-4860-8bec-23a10b8061ea.jpg,"14 Kilnknowe Place, Galashiels, Selkirkshire, TD1 1RH", Selkirkshire, TD1 1RH,Terrace House Three Bedroom Vacant,"£80,000 to £85,000",80000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
40,https://www.eigroup.co.uk/files/20/22986/f9401359-689a-437a-a384-7cb783252bba.jpg,"Apartment 56, East Float Quay, Dock Road, Birkenhead, Merseyside, CH41 1DN", Merseyside, CH41 1DN,Leasehold 2nd Floor Apartment Three Room(s) Allocated Parking Space Vacant,"£55,000 to £60,000",55000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
41,https://www.eigroup.co.uk/files/20/22986/d23d809a-baf2-48eb-b16a-c0b4a291a8f3.jpg,"114 Richmond Road, South Shields, Tyne and Wear, NE34 0QQ", Tyne and Wear, NE34 0QQ,Ground Floor Apartment Three Room(s) Communal Gardens,"£25,000 Plus",25000,Countrywide Property Auctions,25 March 2015,,Mortgagee(s)
42,https://www.eigroup.co.uk/files/20/22986/383d4277-aecd-4fbd-af06-9e4fed03bbc3.jpg,"3 Madden Heights, Tandragee, Craigavon, County Armagh, BT62 2GG", County Armagh, BT62 2GG,Freehold Semi-Detached House Two Floor 4 Room(s) Garden,"£79,000 Plus",79000,Countrywide Property Auctions,25 March 2015,,
1,https://www.eigroup.co.uk/files/1/21119/695f71d6-4969-4593-9e38-99fb28b9d07b.jpg,"6/6A Station Lane, Hornchurch, Essex, RM12 6NJ", Essex, RM12 6NJ,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Let & Ground Rent(s) on Residential Upper Part Self-Contained Flat,"£275,000 Plus",275000,Allsop Commercial,25 March 2015,"15 Yr, commencing 30/07/2007 00:00:00 (FRI.5.Yearly.)",
2,https://www.eigroup.co.uk/files/1/21119/8c0e9939-0cbc-4fc7-908f-999d3172b29f.jpg,"4A & 4B Bridge Street, Walton-on-Thames, Surrey, KT12 1AA", Surrey, KT12 1AA,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Let Residential Upper Part Self-Contained Flat One Bedroom Assured Shorthold Tenancy,"£325,000 to £335,000",325000,Allsop Commercial,25 March 2015,"10 Yr, commencing 08/09/2014 00:00:00 (FRI.5.Yearly.)",
3,https://www.eigroup.co.uk/files/1/21119/d4e8edfe-4940-4a3a-b8d4-47d7bf7e6268.jpg,"82/84 Camberwell Church Street, Camberwell, London, SE5 8QZ", London, SE5 8QZ,Freehold Building Three Floor & Basement Arranged As Basement / Ground Floor Nursery & Dentist Let Upper Part Office Vacant,"£450,000 Plus",450000,Allsop Commercial,25 March 2015,,Hexagon Housing Association
4,https://www.eigroup.co.uk/files/1/21119/c448f7a2-3972-4b50-8ebb-5b30141d93e1.jpg,"1 Taylor Road, Lydd on Sea, Romney Marsh, Kent, TN29 9PA", Kent, TN29 9PA,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Ancillary / Store Accommodation & Residential Upper Part Self-Contained Maisonette Garden 4 Parking Space Let,"£340,000 to £350,000",340000,Allsop Commercial,25 March 2015,"20 Yr, commencing 20/10/2014 00:00:00 (FRI.)",
5,https://www.eigroup.co.uk/files/1/21119/fd2b5c03-89b6-4e84-94c3-52a1f3e78100.jpg,"16 High Street, Lyndhurst, Hampshire, SO43 7BD", Hampshire, SO43 7BD,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s & Restaurant Let Residential Upper Part Three Flat Assured Shorthold Tenancy,"£700,000 to £750,000",700000,Allsop Commercial,25 March 2015,,
6,https://www.eigroup.co.uk/files/1/21119/12f5ede6-63c8-4262-b163-dc192e9e1f27.jpg,"The Misty Moon, 77 The Broadway, High Street, Chesham, Buckinghamshire, HP5 1BX", Buckinghamshire, HP5 1BX,Freehold Public House Two Floor Residential Upper Part Self-Contained Flat Let,"£800,000 to £850,000",800000,Allsop Commercial,25 March 2015,"35 Yr, commencing 29/09/1992 00:00:00 (FRI.5.Yearly.)",
7,https://www.eigroup.co.uk/files/1/21119/261046ee-333e-40fa-a396-7c4fa8465502.jpg,"165/167 High Street, Bromley, Kent, BR1 1JD", Kent, BR1 1JD,Freehold Building 4 Floor Arranged As Ground Floor Bank Basement Store Upper Part Office & 2nd Floor Store amc Total 5382 Square Feet Let,"£2,600,000 to £2,800,000",2600000,Allsop Commercial,25 March 2015,"20 Yr, commencing 22/01/2008 00:00:00 (FRI.5.Yearly.)",
8,https://www.eigroup.co.uk/files/1/21119/ab1db1ae-1283-48c5-bd23-c1901c685127.jpg,"7 High Street, Horncastle, Lincolnshire, LN9 5HP", Lincolnshire, LN9 5HP,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Upper Part Ancillary Accommodation Total 4857 Square Feet Let,"£265,000 to £275,000",265000,Allsop Commercial,25 March 2015,"20 Yr, commencing 01/09/1998 00:00:00 (FRI.5.Yearly.)",
9,https://www.eigroup.co.uk/files/1/21119/22022cc8-efc0-4a47-af44-a18c69a4b92d.jpg,"14 North Street, Ashford, Kent, TN24 8JR", Kent, TN24 8JR,Freehold Building Three Floor Arranged As Ground / 1st Floor Restaurant 2nd Floor Store Let,"£865,000 to £880,000",865000,Allsop Commercial,25 March 2015,"25 Yr, commencing 30/06/2004 00:00:00 (FRI.5.Yearly.)",
10,https://www.eigroup.co.uk/files/1/21119/4e91ecf9-ff37-423b-a661-eeb4cfff8e59.jpg,"McDonalds Restaurants Ltd, Caernarfon Road, Bangor, Gwynedd, LL57 4SU", Gwynedd, LL57 4SU,Freehold Single Storey Restaurant / Drive-Thru Total 3500 Square Feet Let,"£1,050,000 to £1,100,000",1050000,Allsop Commercial,25 March 2015,"25 Yr, commencing 29/09/2000 00:00:00 (FRI.5.Yearly.)",
11,https://www.eigroup.co.uk/files/1/21119/52ac9559-b094-484e-9333-167c2fb2b2fa.jpg,"Espresso Library, Parkside Place, East Road, Cambridge, Cambridgeshire, CB1 1BH", Cambridgeshire, CB1 1BH,Virtual Freehold Ground Floor Retail / Restaurant Unit/s Total 2044 Square Feet Let,"£500,000 Plus",500000,Allsop Commercial,25 March 2015,"15 Yr, commencing 18/09/2014 00:00:00 (FRI.5.Yearly.)",
12,https://www.eigroup.co.uk/files/1/21119/ba624ddb-e354-4deb-80d9-688a5b5d1450.jpg,"24 & 26 High Street, St. Neots, Cambridgeshire, PE19 1JA", Cambridgeshire, PE19 1JA,Freehold Building Two Floor Arranged As Two Ground Floor Retail Unit/s Upper Part Let,"£315,000 to £330,000",315000,Allsop Commercial,25 March 2015,,
13,https://www.eigroup.co.uk/files/1/21119/0b62416e-1543-4d01-8520-2842e645bb2e.jpg,"200 Finchley Road, Hampstead, London, NW3 6BX", London, NW3 6BX,Virtual Freehold Ground Floor & Basement Dental Surgery Total 933 Square Feet Let,"£380,000 Plus",380000,Allsop Commercial,25 March 2015,"20 Yr, commencing 01/02/2010 00:00:00 (FRI.5.Yearly.)",
14,https://www.eigroup.co.uk/files/1/21119/e995a4ce-ca60-42fb-a8df-80359a328569.jpg,"14-15 Commercial Street, Newport, Gwent, NP20 1HE", Gwent, NP20 1HE,Freehold Building 4 Floor Arranged As Ground Floor Bank Upper Part Office & Store Total 14323 Square Feet Let,"£1,700,000 to £1,800,000",1700000,Allsop Commercial,25 March 2015,"20 Yr, commencing 22/01/2008 00:00:00 (FRI.)",Barclays
15,https://www.eigroup.co.uk/files/1/21119/fe0cc7cf-fed4-45a4-adfd-ed8be11d7b44.jpg,"Units 1-6, Plot 26, Walworth Industrial Estate, Kingsway, Andover, Hampshire, SP10 5LQ", Hampshire, SP10 5LQ,Long Leasehold 6 Industrial Unit/s 4 Let & Ground Rent(s) on Two Unit/s,"£1,200,000 to £1,300,000",1200000,Allsop Commercial,25 March 2015,,St Modwen
16,https://www.eigroup.co.uk/files/1/21119/def3fe54-3218-4b8a-a13c-cb52a9f03a65.jpg,"Ailsa, 3 Turnberry House, Parkway, Whiteley, Fareham, Hampshire, PO15 7FJ", Hampshire, PO15 7FJ,Freehold Purpose Built Office Building Three Floor 35 Allocated Parking Space Let,"£1,200,000 Plus",1200000,Allsop Commercial,25 March 2015,,
17,https://www.eigroup.co.uk/files/1/21119/a02cbdce-f053-4d2b-b7c9-600911c4fb5a.jpg,"Maidenhead Project Centre, Reform Road, Maidenhead, Berkshire, SL6 8BY", Berkshire, SL6 8BY,Leasehold Building Three Floor Arranged As Ground Floor Warehouse Let Upper Part Self-Contained Office Part Vacant,"£200,000 Plus",200000,Allsop Commercial,25 March 2015,,
18,https://www.eigroup.co.uk/files/1/21119/3fe93de3-5a25-40ec-b4e4-2b6850345e1a.jpg,"1 Johnson Road, Wednesbury, West Midlands, WS10 0EL", West Midlands, WS10 0EL,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s & Ancillary Accommodation Residential Upper Part Self-Contained Flat 5 Parking Space Let,"£320,000 to £330,000",320000,Allsop Commercial,25 March 2015,"20 Yr, commencing 31/10/2014 00:00:00 (FRI.5.Yearly.)",
19,https://www.eigroup.co.uk/files/1/21119/4709d812-9372-4ba0-a029-3989a0693cab.jpg,"146 Portland Street, Southport, Merseyside, PR8 6RB", Merseyside, PR8 6RB,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s & 10 Parking Space Let & Ground Rent(s) on Residential Upper Part Flat,"£265,000 to £275,000",265000,Allsop Commercial,25 March 2015,"20 Yr, commencing 12/01/2015 00:00:00 (FRI.)",
20,https://www.eigroup.co.uk/files/1/21119/026fe2f7-000f-462b-8980-e4a4fcbfa991.jpg,"30 High Street, Cheadle, Cheshire, SK8 1AL", Cheshire, SK8 1AL,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Upper Part Ancillary Accommodation Let,"£900,000 to £925,000",900000,Allsop Commercial,25 March 2015,"15 Yr, commencing 28/06/2010 00:00:00 (FRI.5.Yearly.)",
21,https://www.eigroup.co.uk/files/1/21119/560dee90-0662-4d0a-88f3-de8a0cb7a0f7.jpg,"8/10 Snitterton Road, Matlock, Derbyshire, DE4 3LZ", Derbyshire, DE4 3LZ,Freehold Building Two Floor Arranged As Ground Floor Bank Let Upper Part Office & Garage/s / Workshop Vacant,Refer,,Allsop Commercial,25 March 2015,,Threadneedle
22,https://www.eigroup.co.uk/files/1/21119/b9e85213-95d1-4e12-ae31-6e3817252794.jpg,"EDF Energy Substation Site, Maxwell Road, Peterborough, Cambridgeshire, PE2 7JB", Cambridgeshire, PE2 7JB,Freehold Ground Rent(s) on Site 1.25 Acre & Electricity Substation,"£160,000 Plus",160000,Allsop Commercial,25 March 2015,"20 Yr, commencing 24/04/2013 00:00:00",
23,https://www.eigroup.co.uk/files/1/21119/0a303d98-aa97-4fee-bab0-84f24fa3a152.jpg,"68 Lewisham High Street, Lewisham, London, SE13 5JH", London, SE13 5JH,Freehold Building Three Floor Arranged As Ground Floor Retail Unit/s Total 2840 Square Feet Let,"£400,000 Plus",400000,Allsop Commercial,25 March 2015,"10 Yr, commencing 25/03/2012 00:00:00 (FRI.5.Yearly.)",
24,https://www.eigroup.co.uk/files/1/21119/1da2901c-4f90-4cc6-858a-760461381d26.jpg,"88 High Street, Acton, London, W3 6QX", London, W3 6QX,Freehold Building Three Floor Arranged As Ground Floor Retail Unit/s Let & Ground Rent(s) on Residential Upper Part 5 Self-Contained Flat,"£350,000 Plus",350000,Allsop Commercial,25 March 2015,"10 Yr, commencing 25/12/2014 00:00:00 (FRI.5.Yearly.)",
25,https://www.eigroup.co.uk/files/1/21119/a2e82d54-2ea4-4a29-bd97-c94d228e66fc.jpg,"586-588 Christchurch Road, Bournemouth, Dorset, BH1 4BH", Dorset, BH1 4BH,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Upper Part Ancillary Total 6161 Square Feet Let,"£500,000 Plus",500000,Allsop Commercial,25 March 2015,"15 Yr, commencing 20/05/2011 00:00:00 (FRI.5.Yearly.)",
26,https://www.eigroup.co.uk/files/1/21119/6839e667-b63c-4055-a290-f8ab67c3089e.jpg,"Unit 4, Woodingdean Business Park, Hunns Mere Way, Brighton, East Sussex, BN2 6AH", East Sussex, BN2 6AH,Long Leasehold Semi-Detached Office Building Two Floor Total 1889 Square Feet Let,"£325,000 Plus",325000,Allsop Commercial,25 March 2015,"5 Yr, commencing 20/01/2014 00:00:00 (FRI.)",St Modwen
27,https://www.eigroup.co.uk/files/1/21119/f747c1ff-d11a-4727-9639-130014e3df08.jpg,"16/16A High Street, Newhaven, East Sussex, BN9 9PD", East Sussex, BN9 9PD,Freehold Building Three Floor Arranged As Ground Floor Library Let Residential Upper Part Three Self-Contained Flat Assured Shorthold Tenancy,"£300,000 Plus",300000,Allsop Commercial,25 March 2015,"10 Yr, commencing 01/04/2006 00:00:00 (FRI.5.Yearly.)",
28,https://www.eigroup.co.uk/files/1/21119/e034c958-0c58-4503-969b-46a0d33e406e.jpg,"39 Eign Gate, Hereford, Herefordshire, HR4 0AB", Herefordshire, HR4 0AB,Freehold Terrace Building Two Floor Arranged As Ground Floor Retail Unit/s Upper Part Store Let,"£325,000 Plus",325000,Allsop Commercial,25 March 2015,"10 Yr, commencing 17/02/2012 00:00:00 (FRI.)",
29,https://www.eigroup.co.uk/files/1/21119/0553b7a4-4b43-4dbf-a0e5-8c18c6941579.jpg,"24 & 26 Penrhyn Road, Colwyn Bay, Clwyd, LL29 8LG", Clwyd, LL29 8LG,Freehold Two Building Three Floor Arranged As Two Ground Floor Retail Unit/s Let Residential Upper Part 6 Self-Contained Flat 6 Assured Shorthold Tenancy & Ground Rent(s) on Ground Floor Dance Studio,"£350,000 to £375,000",350000,Allsop Commercial,25 March 2015,,
30,https://www.eigroup.co.uk/files/1/21119/ce669665-7dd1-459f-8340-a48a0043b8dc.jpg,"117 Poole Road, Bournemouth, Dorset, BH4 9BG", Dorset, BH4 9BG,Freehold Building 4 Floor Arranged As Ground Floor Retail Unit/s / Restaurant Let Residential Upper Part 4 Flat Three Assured Shorthold Tenancy One Vacant,"£325,000 to £350,000",325000,Allsop Commercial,25 March 2015,"5 Yr, commencing 28/08/2013 00:00:00 (FRI.3.Yearly.)",
31,https://www.eigroup.co.uk/files/1/21119/d98ee50a-1e5b-427f-a24a-6c17925f82f5.jpg,"118 London Road North, Lowestoft, Suffolk, NR32 1HB", Suffolk, NR32 1HB,Freehold Building Two Floor Arranged As Ground Floor Retail Unit/s Upper Part Ancillary Accommodation Let,"£375,000 to £400,000",375000,Allsop Commercial,25 March 2015,"5 Yr, commencing 18/12/2014 00:00:00 (FRI.)",
